index,tmc_code,start_time,stop_time,length,closure_time,event_id
271,116N04725,2019-03-05 16:00:00,2019-03-05 16:59:59,0.453175,0 days 00:59:59,45
252,116P04729,2019-03-05 16:00:00,2019-03-05 16:59:59,0.411808,0 days 00:59:59,45
231,116+04726,2019-03-05 16:00:00,2019-03-05 16:59:59,7.867057,0 days 00:59:59,45
260,116P04731,2019-03-05 16:00:00,2019-03-05 16:59:59,0.405709,0 days 00:59:59,45
261,116P04730,2019-03-05 16:00:00,2019-03-05 16:59:59,0.412762,0 days 00:59:59,45
248,116+04732,2019-03-05 16:00:00,2019-03-05 16:59:59,3.898982,0 days 00:59:59,45
398,116N04719,2019-03-07 01:00:00,2019-03-07 02:59:59,0.349861,0 days 01:59:59,50
428,116-04719,2019-03-07 01:00:00,2019-03-07 02:59:59,10.138339,0 days 01:59:59,50
425,116-04715,2019-03-07 02:00:00,2019-03-07 02:59:59,1.132466,0 days 00:59:59,50
405,116N06999,2019-03-07 02:00:00,2019-03-07 02:59:59,0.538057,0 days 00:59:59,50
372,116P06999,2019-03-07 02:00:00,2019-03-07 02:59:59,0.556302,0 days 00:59:59,50
408,116N04730,2019-03-07 02:00:00,2019-03-07 02:59:59,0.355859,0 days 00:59:59,50
420,116N04728,2019-03-07 02:00:00,2019-03-07 02:59:59,0.380822,0 days 00:59:59,50
341,116+06999,2019-03-07 02:00:00,2019-03-07 02:59:59,1.016772,0 days 00:59:59,50
342,116+04713,2019-03-07 02:00:00,2019-03-07 02:59:59,9.43555,0 days 00:59:59,50
343,116+04714,2019-03-07 02:00:00,2019-03-07 02:59:59,5.700466,0 days 00:59:59,50
346,116N04714,2019-03-07 02:00:00,2019-03-07 02:59:59,0.52149,0 days 00:59:59,50
348,116N04715,2019-03-07 02:00:00,2019-03-07 02:59:59,0.488138,0 days 00:59:59,50
365,116-06999,2019-03-07 02:00:00,2019-03-07 02:59:59,0.368801,0 days 00:59:59,50
361,116-04730,2019-03-07 02:00:00,2019-03-07 02:59:59,1.878979,0 days 00:59:59,50
416,116N04729,2019-03-07 02:00:00,2019-03-07 02:59:59,0.370858,0 days 00:59:59,50
352,116N04712,2019-03-07 02:00:00,2019-03-07 02:59:59,0.378685,0 days 00:59:59,50
353,116N04713,2019-03-07 02:00:00,2019-03-07 02:59:59,0.511957,0 days 00:59:59,50
354,116-04728,2019-03-07 02:00:00,2019-03-07 02:59:59,2.584384,0 days 00:59:59,50
415,116-04712,2019-03-07 02:00:00,2019-03-07 02:59:59,9.412585,0 days 00:59:59,50
356,116-04729,2019-03-07 02:00:00,2019-03-07 02:59:59,3.950657,0 days 00:59:59,50
414,116-04711,2019-03-07 02:00:00,2019-03-07 02:59:59,6.576683,0 days 00:59:59,50
344,116+04715,2019-03-07 02:00:00,2019-03-07 02:59:59,3.336824,0 days 00:59:59,50
380,116N04721,2019-03-07 02:00:00,2019-03-07 09:59:59,0.232318,0 days 07:59:59,50
412,116-04713,2019-03-07 02:00:00,2019-03-07 02:59:59,5.739414,0 days 00:59:59,50
315,116P04719,2019-03-07 02:00:00,2019-03-07 07:59:59,0.474597,0 days 05:59:59,50
312,116P04714,2019-03-07 02:00:00,2019-03-07 02:59:59,0.526392,0 days 00:59:59,50
311,116P04715,2019-03-07 02:00:00,2019-03-07 02:59:59,0.534217,0 days 00:59:59,50
310,116P04712,2019-03-07 02:00:00,2019-03-07 02:59:59,0.387435,0 days 00:59:59,50
309,116P04713,2019-03-07 02:00:00,2019-03-07 02:59:59,0.52156,0 days 00:59:59,50
385,116N04720,2019-03-07 02:00:00,2019-03-07 12:59:59,0.515226,0 days 10:59:59,50
403,116N04717,2019-03-07 02:00:00,2019-03-07 02:59:59,0.399198,0 days 00:59:59,50
431,116-04720,2019-03-07 02:00:00,2019-03-07 09:59:59,4.791459,0 days 07:59:59,50
401,116N04716,2019-03-07 02:00:00,2019-03-07 02:59:59,0.601766,0 days 00:59:59,50
303,116N08161,2019-03-07 02:00:00,2019-03-07 02:59:59,0.394022,0 days 00:59:59,50
394,116N04718,2019-03-07 02:00:00,2019-03-07 02:59:59,0.464014,0 days 00:59:59,50
313,116-08161,2019-03-07 02:00:00,2019-03-07 02:59:59,1.304419,0 days 00:59:59,50
305,116N10750,2019-03-07 03:00:00,2019-03-07 03:59:59,0.015664,0 days 00:59:59,50
393,116N04724,2019-03-07 03:00:00,2019-03-07 03:59:59,0.443686,0 days 00:59:59,50
307,116-10750,2019-03-07 03:00:00,2019-03-07 03:59:59,1.095514,0 days 00:59:59,50
437,116-04725,2019-03-07 03:00:00,2019-03-07 03:59:59,7.875663,0 days 00:59:59,50
440,116-04723,2019-03-07 03:00:00,2019-03-07 03:59:59,1.148902,0 days 00:59:59,50
390,116N04723,2019-03-07 03:00:00,2019-03-07 03:59:59,0.355681,0 days 00:59:59,50
327,116P04723,2019-03-07 03:00:00,2019-03-07 03:59:59,0.453781,0 days 00:59:59,50
388,116N04726,2019-03-07 03:00:00,2019-03-07 03:59:59,0.032289,0 days 00:59:59,50
436,116-04724,2019-03-07 03:00:00,2019-03-07 03:59:59,2.638354,0 days 00:59:59,50
387,116N04725,2019-03-07 03:00:00,2019-03-07 03:59:59,0.453175,0 days 00:59:59,50
418,116N04727,2019-03-07 03:00:00,2019-03-07 03:59:59,0.261073,0 days 00:59:59,50
370,116+04720,2019-03-07 03:00:00,2019-03-07 14:59:59,10.018198,0 days 11:59:59,50
334,116P04721,2019-03-07 03:00:00,2019-03-07 14:59:59,0.436887,0 days 11:59:59,50
373,116+04721,2019-03-07 03:00:00,2019-03-07 14:59:59,4.583104,0 days 11:59:59,50
323,116P04720,2019-03-07 03:00:00,2019-03-07 15:59:59,0.532736,0 days 12:59:59,50
358,116-04726,2019-03-07 03:00:00,2019-03-07 03:59:59,1.654875,0 days 00:59:59,50
399,116N04719,2019-03-07 04:00:00,2019-03-07 12:59:59,0.349861,0 days 08:59:59,50
406,116N06999,2019-03-07 04:00:00,2019-03-07 04:59:59,0.538057,0 days 00:59:59,50
402,116N04716,2019-03-07 04:00:00,2019-03-07 06:59:59,0.601766,0 days 02:59:59,50
366,116-06999,2019-03-07 04:00:00,2019-03-07 04:59:59,0.368801,0 days 00:59:59,50
404,116N04717,2019-03-07 04:00:00,2019-03-07 04:59:59,0.399198,0 days 00:59:59,50
347,116N04714,2019-03-07 04:00:00,2019-03-07 04:59:59,0.52149,0 days 00:59:59,50
395,116N04718,2019-03-07 04:00:00,2019-03-07 05:59:59,0.464014,0 days 01:59:59,50
304,116N08161,2019-03-07 04:00:00,2019-03-07 04:59:59,0.394022,0 days 00:59:59,50
